78,45,27504
71,85,0
72,21,0
83,16,0
75,26,0
93,54,0
52,79,0
62,48,0
56,15,0
49,49,0
54,65,0
25,55,0
44,52,0
66,98,0
26,94,0
36,40,0
56,51,0
23,14,0
63,31,0
72,45,0
57,81,0
11,58,0
84,85,0
85,17,0
72,15,0
28,29,0
47,27,0
93,55,0
79,46,0
84,33,0
94,83,0
91,96,0
89,42,0
15,26,0
68,98,0
17,22,0
56,85,0
56,35,0
54,74,0
99,48,0
71,89,0
74,15,0
94,60,0
55,60,0
57,64,0
24,71,0
40,31,0
66,24,0
81,94,0
72,98,0
55,98,0
95,40,0
24,49,0
11,69,0
47,53,0
51,61,0
48,41,0
50,55,0
23,57,0
57,66,0
12,98,0
52,69,0
68,34,0
17,63,0
98,56,0
39,58,0
27,19,0
36,27,0
63,26,0
87,49,0
52,48,0
53,54,0
94,44,0
96,20,0
23,58,0
46,80,0
84,72,0
65,49,0
34,83,0
99,87,0
60,15,0
29,26,0
32,51,0
53,41,0
27,26,0
99,77,0
30,62,0
55,18,0
60,91,0
10,67,0
86,37,0
99,34,0
69,37,0
62,89,0
42,86,0
48,85,0
23,52,0
87,89,0
11,43,0
65,92,0
31,90,0
73,20,0
78,27,0
30,70,0
16,91,0
57,16,0
11,96,0
10,62,0
60,66,0
70,30,0
85,97,0
73,82,0
98,85,0
51,88,0
49,14,0
51,45,0
13,22,0
50,89,0
44,86,0
18,67,0
57,38,0
33,66,0
60,71,0
86,47,0
52,48,0
89,53,0
42,99,0
95,33,0
31,14,0
95,77,0
65,92,0
91,83,0
90,74,0
96,49,0
38,60,0
11,86,0
84,14,0
94,54,0
77,59,0
87,75,0
75,24,0
15,95,0
28,34,0
91,60,0
39,72,0
54,35,0
83,65,0
39,56,0
66,97,0
47,36,0
26,42,0
35,47,0
21,46,0
53,90,0
60,37,0
49,15,0
94,66,0
44,57,0
84,17,0
31,84,0
74,80,0
18,18,0
84,54,0
78,13,0
21,58,0
40,14,0
89,68,0
62,65,0
70,21,0
49,90,0
78,46,0
91,88,0
70,62,0
99,92,0
24,30,0
79,83,0
45,20,0
46,31,0
42,19,0
77,99,0
74,36,0
20,18,0
20,11,0
63,22,0
98,52,0
71,27,0
76,49,0
17,41,0
51,99,0
16,62,0
43,13,0
87,35,0
87,19,0
63,72,0
97,12,0
58,62,0
70,58,0
82,64,0
97,61,0
48,72,0
90,63,0
12,55,0
84,66,0
58,98,0
44,20,0
91,18,0
25,44,0
96,48,0
12,25,0
86,42,0
19,68,0
51,98,0
39,89,0
96,29,0
99,95,0
89,55,0
31,13,0
23,47,0
46,59,0
51,56,0
74,21,0
63,91,0
57,39,0
79,47,0
59,11,0
63,31,0
79,66,0
41,87,0
14,23,0
35,46,0
29,58,0
67,68,0
84,58,0
85,20,0
59,66,0
63,14,0
65,15,0
27,97,0
71,53,0
11,39,0
58,24,0
64,98,0
90,77,0
73,73,0
26,40,0
69,66,0
81,49,0
46,73,0
82,28,0
18,47,0
41,83,0
22,53,0
24,26,0
15,37,0
28,59,0
95,25,0
43,24,0
40,60,0
64,32,0
13,25,0
93,49,0
50,86,0
59,85,0
34,88,0
74,76,0
39,26,0
64,91,0
45,67,0
99,46,0
58,91,0
75,40,0
76,46,0
83,99,0
30,29,0
26,39,0
21,76,0
10,43,0
64,59,0
27,35,0
96,17,0
33,26,0
63,28,0
69,11,0
