32,41,44,15,273940
43,35,33,11,0
11,64,31,78,0
16,90,45,17,0
82,44,32,77,0
22,86,17,93,0
82,22,46,83,0
35,77,57,35,0
20,79,65,60,0
45,33,71,74,0
24,22,80,84,0
15,97,42,39,0
13,12,76,10,0
26,21,32,31,0
60,52,13,98,0
10,99,34,88,0
35,62,31,85,0
50,38,73,67,0
67,28,40,65,0
44,19,62,91,0
26,28,62,37,0
78,77,54,19,0
40,72,59,49,0
26,45,14,76,0
33,31,93,44,0
62,94,56,22,0
96,81,37,10,0
97,52,93,51,0
54,96,22,47,0
97,89,56,53,0
85,19,88,54,0
72,30,58,79,0
45,88,85,67,0
74,93,68,43,0
56,78,95,53,0
67,82,54,25,0
30,86,14,23,0
80,34,42,15,0
54,47,82,77,0
18,27,17,54,0
28,53,64,30,0
32,67,42,23,0
64,10,61,17,0
12,60,32,52,0
57,18,31,18,0
71,10,10,86,0
74,56,41,19,0
14,11,87,21,0
25,61,92,34,0
62,87,19,69,0
35,70,60,63,0
84,24,53,10,0
73,63,39,74,0
32,66,98,36,0
40,19,68,93,0
25,69,96,11,0
65,79,90,58,0
22,29,85,12,0
96,48,43,84,0
78,82,27,98,0
23,51,61,82,0
50,40,85,53,0
77,20,26,21,0
11,39,28,27,0
36,86,50,98,0
96,70,92,31,0
83,15,52,91,0
42,56,10,64,0
22,22,45,41,0
67,56,23,72,0
82,75,75,15,0
92,88,57,53,0
93,84,72,27,0
47,69,43,54,0
33,33,40,97,0
66,21,47,64,0
54,12,82,21,0
91,60,87,69,0
78,63,30,57,0
67,66,49,13,0
99,20,63,33,0
94,86,70,10,0
42,56,89,96,0
86,16,27,60,0
96,13,45,67,0
45,70,55,30,0
66,23,87,69,0
67,70,69,26,0
30,28,16,92,0
48,63,86,13,0
92,68,86,47,0
54,18,37,36,0
54,78,43,60,0
89,51,62,37,0
85,86,55,82,0
14,28,92,56,0
22,17,34,92,0
16,69,41,98,0
59,13,60,67,0
10,30,57,98,0
53,56,77,31,0
21,24,78,32,0
33,88,78,91,0
80,85,65,89,0
68,84,21,69,0
29,15,74,20,0
85,22,58,73,0
95,75,99,78,0
96,30,10,63,0
98,61,53,69,0
16,11,27,64,0
98,57,17,43,0
61,33,58,71,0
83,73,41,67,0
64,87,59,16,0
53,53,19,13,0
16,97,96,64,0
37,40,13,40,0
40,38,90,49,0
82,82,68,22,0
43,88,71,17,0
82,76,21,92,0
21,78,66,21,0
36,96,80,72,0
91,15,14,17,0
34,83,61,91,0
79,97,33,77,0
90,70,48,87,0
99,23,87,27,0
96,19,20,60,0
53,40,21,43,0
23,39,77,48,0
70,56,74,69,0
39,28,22,83,0
97,38,79,30,0
17,63,49,88,0
72,79,72,52,0
87,88,69,55,0
73,66,56,61,0
41,10,39,10,0
16,29,57,68,0
49,91,53,58,0
11,80,23,19,0
27,19,24,68,0
99,46,78,92,0
81,75,62,62,0
73,74,38,50,0
42,98,38,25,0
57,17,55,94,0
94,97,86,67,0
95,92,81,98,0
91,58,65,93,0
34,97,94,89,0
98,46,59,34,0
93,87,62,62,0
52,32,23,55,0
35,37,32,99,0
20,13,89,10,0
86,46,20,48,0
54,41,78,75,0
33,72,70,80,0
25,71,44,17,0
30,62,96,26,0
28,55,60,86,0
44,37,63,68,0
31,10,86,72,0
47,71,99,85,0
72,12,66,89,0
66,12,63,24,0
84,19,80,51,0
78,34,43,96,0
16,65,24,47,0
78,53,15,72,0
57,53,63,22,0
47,19,27,26,0
45,52,64,64,0
12,13,84,28,0
65,18,38,55,0
22,63,36,35,0
20,28,29,20,0
16,89,74,32,0
72,12,88,79,0
33,12,46,60,0
54,16,84,68,0
72,74,61,52,0
10,42,14,16,0
