30,92,74,2661
16,68,33,0
65,79,86,0
64,74,97,0
22,21,87,0
79,94,97,0
11,49,28,0
39,87,54,0
79,67,37,0
51,53,35,0
74,53,30,0
82,57,81,0
92,52,61,0
67,54,12,0
46,62,83,0
20,22,56,0
64,18,88,0
23,22,17,0
50,17,71,0
68,74,81,0
55,69,93,0
67,93,64,0
17,95,65,0
60,96,96,0
35,10,14,0
44,76,78,0
60,12,86,0
66,82,98,0
88,23,77,0
19,38,86,0
68,44,37,0
32,69,52,0
95,28,63,0
50,80,98,0
45,39,72,0
12,86,37,0
87,19,54,0
83,30,91,0
64,66,54,0
12,18,21,0
22,38,95,0
49,36,19,0
72,70,50,0
27,97,11,0
78,29,68,0
20,77,40,0
56,61,67,0
74,24,11,0
20,44,85,0
58,51,48,0
53,12,92,0
80,13,36,0
41,88,59,0
85,29,26,0
13,13,44,0
25,47,42,0
91,99,87,0
18,87,15,0
73,33,98,0
21,69,32,0
16,43,65,0
27,39,33,0
25,96,44,0
78,81,24,0
95,34,18,0
54,38,59,0
70,85,27,0
28,77,89,0
41,32,80,0
76,47,59,0
81,98,32,0
80,96,57,0
40,35,59,0
65,12,50,0
72,77,71,0
87,52,19,0
91,67,62,0
31,80,36,0
98,55,71,0
55,84,10,0
67,12,77,0
87,87,75,0
13,89,30,0
47,74,48,0
42,78,35,0
34,11,29,0
41,34,94,0
26,22,69,0
76,51,12,0
67,63,50,0
63,53,12,0
61,77,70,0
33,43,10,0
20,93,70,0
94,81,73,0
32,95,53,0
84,95,95,0
57,73,15,0
39,87,15,0
52,56,43,0
